X_ER,X_ER membrane,X_ER membrane-associated,ERGIC,Golgi,Golgi membrane,Golgi membrane-associated,Cis Golgi,Trans Golgi,Lysosome,Mitochondria,Plasma Membrane,Endosome,Peroxisome,Nucleus,Cytosol,ER,ER Lumen,ER high curvature ,ER high sheet,ER Membrane,ER Membrane-associated,ER Receptors
PIGS,SSR4,,,TRAPPC5,,,,,,LYRM7,CTLA4,,,DCLRE1A,GIMAP6,TMEM43,,,,,,
PIGT,STIM2,,,TRAPPC6A,,,,,,MAIP1,CX3CR1,,,DCLRE1C,GIPC2,TMEM97,,,,,,
PIGU,STIMATE,,,TRAPPC6B,,,,,,MALSU1,CXCR1,,,DCUN1D1,GLRX,TMX2,,,,,,
PIGV,STS,,,TRAPPC8,,,,,,1-Mar,CXCR2,,,DDB2,GLTP,TMX3,,,,,,
PIGW,STT3A,,,TRAPPC9,,,,,,MARS2,CXCR3,,,DDX11L8,GMPPB,TOR1A,,,,,,
PIGX,STT3B,,,UGCG,,,,,,MCAT,CXCR5,,,DDX12P,GMPS,TOR1AIP2,,,,,,
PIGY,SUCO,,,USP32,,,,,,MCCC1,CXCR6,,,DDX18,GNAT3,TOR2A,,,,,,
PIGZ,SYVN1,,,USP6NL,,,,,,MCCC2,CYSLTR1,,,DDX23,GNE,TRAM1,,,,,,
PLIN1,TAP1,,,UST,,,,,,MCCD1,CYSLTR2,,,DDX27,GNMT,TXNDC15,,,,,,
PLOD1,TAP2,,,UXS1,,,,,,MCEE,CYTH4,,,DDX31,GNPDA1,TYW1,,,,,,
PLOD2,TAPBP,,,VPS41,,,,,,MCU,DAGLA,,,DDX41,GNPDA2,UBAC2,,,,,,
PNLDC1,TBXAS1,,,VPS45,,,,,,MCUB,DAGLB,,,DDX46,GOT1,UBE2G2,,,,,,
PNPLA6,TECR,,,VPS51,,,,,,MCUR1,DCHS1,,,DDX47,GOT1L1,UBE2J1,,,,,,
POFUT1,TECRL,,,VPS52,,,,,,MDH2,DCST1,,,DDX5,GPCPD1,UBXN4,,,,,,
POGLUT1,TEX264,,,VPS53,,,,,,ME2,DCUN1D3,,,DDX50,GPD1,UFSP2,,,,,,
POGLUT2,TM4SF20,,,VPS54,,,,,,ME3,DDR2,,,DDX51,GPRASP1,UGT8,,,,,,
POGLUT3,TM7SF2,,,XYLT1,,,,,,METAP1D,DLG2,,,DDX52,GPSM3,USE1,,,,,,
POMGNT2,TMBIM6,,,XYLT2,,,,,,METTL17,DLGAP1,,,DDX53,GPT,VAPA,,,,,,
POMK,TMC6,,,YIF1A,,,,,,MFN2,DLGAP2,,,DDX54,GPX1,VAPB,,,,,,
POMT1,TMC8,,,YIPF1,,,,,,MGME1,DLGAP3,,,DDX56,GSPT2,VKORC1L1,,,,,,
POMT2,TMCC1,,,YIPF2,,,,,,MICOS10,DLL1,,,DEDD2,GSTA1,VMP1,,,,,,
POR,TMCC2,,,YIPF3,,,,,,MICOS13,DLL4,,,DEK,GSTA2,VRK2,,,,,,
PORCN,TMCC3,,,YIPF4,,,,,,MICU1,DNAJC5,,,DENND4A,GSTA3,WFS1,,,,,,
PPIB,TMED4,,,YIPF5,,,,,,MICU2,DOK7,,,DEPDC1,GSTA4,XXYLT1,,,,,,
PRKCSH,TMED6,,,YIPF6,,,,,,MICU3,DPEP1,,,DERPC,GSTA5,RETREG3,,,,,,
PRSS50,TMEM106C,,,YIPF7,,,,,,MIEF1,DPP10,,,DET1,GSTCD,RETREG1,,,,,,
PTDSS1,TMEM129,,,ZDHHC15,,,,,,MIEF1,DPP6,,,DGCR6,GSTM1,RETREG2,,,,,,
PTDSS2,TMEM147,,,ZDHHC21,,,,,,MIEF2,DRD2,,,DGCR6L,GSTM2,,,,,,,
PTGIS,TMEM174,,,ZDHHC3,,,,,,MIGA1,DRD4,,,DGCR8,GSTM3,,,,,,,
PTGS1,TMEM178A,,,ZDHHC7,,,,,,MIGA2,DRD5,,,DHX15,GSTM4,,,,,,,
PTGS2,TMEM189,,,ZFPL1,,,,,,MIPEP,DRP2,,,DHX16,GSTM5,,,,,,,
PTPN2,TMEM203,,,PDXDC1,,,,,,MMAA,DSC1,,,DHX38,GSTO1,,,,,,,
PTPN5,TMEM208,,,TOM1L1,,,,,,MMAB,DSC2,,,DHX8,GSTT1,,,,,,,
RCE1,TMEM214,,,PI4K2A,,,,,,MMUT,DSC3,,,DIEXF,GSTT2,,,,,,,
RCN1,TMEM235,,,CCDC115,,,,,,MPC1,DSCAML1,,,DIMT1,GSTT2B,,,,,,,
RCN2,TMEM258,,,ARL1,,,,,,MPC2,DSG1,,,DIP2A,GSTT4,,,,,,,
RCN3,TMEM259,,,TRIP11,,,,,,MPV17,DSG2,,,DLX1,GSTZ1,,,,,,,
RDH10,TMEM38B,,,PKMYT1,,,,,,MPV17L2,DSG3,,,DLX2,GTPBP1,,,,,,,
RDH11,TMEM41B,,,ZFYVE1,,,,,,MRM1,DSG4,,,DLX3,GTSF1,,,,,,,
RDH12,TMEM64,,,RAB31,,,,,,MRM2,DUOX1,,,DLX4,GUCY1A1,,,,,,,
RDH16,TMPRSS3,,,ZDHHC13,,,,,,MRM3,DUOX2,,,DLX5,GUCY1A2,,,,,,,
RDH5,TMTC1,,,CHPF,,,,,,MRPL1,DYTN,,,DLX6,GUCY1B1,,,,,,,
REEP3,TMTC2,,,,,,,,,MRPL10,ECE1,,,DMBX1,GUCY1B2,,,,,,,
REEP4,TMTC3,,,,,,,,,MRPL11,EDNRA,,,DMC1,HAAO,,,,,,,
REEP5,TMTC4,,,,,,,,,MRPL12,EDNRB,,,DMRT1,HARS1,,,,,,,
REEP6,TMX1,,,,,,,,,MRPL13,EFNA2,,,DMRT2,HEBP1,,,,,,,
RETSAT,TMX3,,,,,,,,,MRPL14,EFNA3,,,DMRT3,HECW1,,,,,,,
RNF103,TPTE2,,,,,,,,,MRPL15,EFNA5,,,DMRTA1,HEPN1,,,,,,,
RNF133,TRAM1,,,,,,,,,MRPL16,EFNB2,,,DMRTA2,HERC4,,,,,,,
RNF139,TRAM1L1,,,,,,,,,MRPL17,EMB,,,DMRTB1,HERC6,,,,,,,
RNF145,TRIM13,,,,,,,,,MRPL18,ENG,,,DMRTC2,HIPK4,,,,,,,
RNF170,TRIM59,,,,,,,,,MRPL19,ENPEP,,,DMTF1,HMBS,,,,,,,
RNF186,TRIQK,,,,,,,,,MRPL2,ENPP4,,,DMWD,HMGCS1,,,,,,,
RNF19B,TSPO2,,,,,,,,,MRPL20,ENPP6,,,DNAJC27,HNMT,,,,,,,
RNF26,TTMP,,,,,,,,,MRPL21,ENTPD8,,,DNAJC8,HPGD,,,,,,,
RNFT1,TUSC3,,,,,,,,,MRPL22,EPCAM,,,DNMT1,HPGDS,,,,,,,
RPN1,TXNDC11,,,,,,,,,MRPL23,EPHA1,,,DNMT3B,HPRT1,,,,,,,
RPN2,UBAC2,,,,,,,,,MRPL24,EPHA5,,,DNMT3L,HPS3,,,,,,,
RRBP1,UBE2J1,,,,,,,,,MRPL27,EPHA7,,,DNTT,HPS5,,,,,,,
RTN1,UBE2J2,,,,,,,,,MRPL28,EPHB2,,,DNTTIP1,HSD17B1,,,,,,,
RTN2,UBXN8,,,,,,,,,MRPL3,EPHB3,,,DNTTIP2,HSD17B14,,,,,,,
RTN3,UGT1A1,,,,,,,,,MRPL30,EPHB4,,,DONSON,HSF2BP,,,,,,,
RTN4,UGT1A10,,,,,,,,,MRPL32,ERVFC1,,,DOT1L,HSP90AA2P,,,,,,,
RYR3,UGT1A3,,,,,,,,,MRPL33,ERVFRD-1,,,DPF3,HSP90AA4P,,,,,,,
SACM1L,UGT1A4,,,,,,,,,MRPL34,ERVK-18,,,DPPA2,HSP90AA5P,,,,,,,
SAMD8,UGT1A5,,,,,,,,,MRPL35,ERVK-19,,,DPPA4,HSP90AB2P,,,,,,,
SC5D,UGT1A6,,,,,,,,,MRPL36,ERVK-21,,,DPRX,HSP90AB3P,,,,,,,
SCD,UGT1A7,,,,,,,,,MRPL37,ERVK-24,,,DQX1,HSP90AB4P,,,,,,,
SCD5,UGT1A8,,,,,,,,,MRPL38,ERVK-25,,,DR1,HSPA14,,,,,,,
SDF2L1,UGT1A9,,,,,,,,,MRPL39,ERVK-6,,,DRAP1,HSPA4,,,,,,,
SDR16C5,UGT2B10,,,,,,,,,MRPL4,ERVK-7,,,DRGX,HSPBAP1,,,,,,,
SEC11A,UGT2B11,,,,,,,,,MRPL40,ERVK-8,,,DROSHA,HSPH1,,,,,,,
SEC11C,UGT2B15,,,,,,,,,MRPL41,ERVK-9,,,DSCC1,HYKK,,,,,,,
SEC22A,UGT2B17,,,,,,,,,MRPL42,ERVK13-1,,,DSN1,IARS1,,,,,,,
SEC22C,UGT2B28,,,,,,,,,MRPL43,ERVPABLB-1,,,DUSP1,IDO1,,,,,,,
SEC23IP,UGT2B4,,,,,,,,,MRPL44,ERVS71-1,,,DUSP11,IFI44,,,,,,,
SEC61A1,UGT2B7,,,,,,,,,MRPL45,ERVW-1,,,DUSP2,IFI44L,,,,,,,
SEC61A2,UPK3A,,,,,,,,,MRPL46,ESAM,,,DUSP3,IFIT1,,,,,,,
SEC61B,USE1,,,,,,,,,MRPL47,F11R,,,DUSP4,IGBP1,,,,,,,
SEC61G,USP19,,,,,,,,,MRPL48,F2R,,,DUSP5,ILKAP,,,,,,,
SEC62,VAPB,,,,,,,,,MRPL49,F2RL1,,,DUX1,IMPA1,,,,,,,
SEC63,VKORC1,,,,,,,,,MRPL50,F2RL2,,,DUX3,IMPACT,,,,,,,
SEL1L,VKORC1L1,,,,,,,,,MRPL51,F2RL3,,,DUX4,INMT,,,,,,,
SELENOF,WFS1,,,,,,,,,MRPL52,FAIM2,,,DUX4L2,IP6K3,,,,,,,
SELENON,WRB,,,,,,,,,MRPL53,FAM171A1,,,DUX4L3,IQSEC2,,,,,,,
SELENOS,XXYLT1,,,,,,,,,MRPL54,FBXO45,,,DUX4L4,IRAK4,,,,,,,
SELENOT,ZDHHC16,,,,,,,,,MRPL55,FCAMR,,,DUX4L5,IREB2,,,,,,,
SERINC1,ZDHHC4,,,,,,,,,MRPL57,FCER1A,,,DUX4L6,IRS2,,,,,,,
SERP1,ZDHHC6,,,,,,,,,MRPL58,FCER1G,,,DUX4L7,ISYNA1,,,,,,,
SERP2,ZNRF4,,,,,,,,,MRPL9,FCGR1A,,,DUX4L9,ITPA,,,,,,,
SERPINA2,,,,,,,,,,MRPS10,FCGR1B,,,DUX5,ITSN2,,,,,,,
SERPINH1,,,,,,,,,,MRPS11,FCGR2A,,,DUXA,JMJD4,,,,,,,
SEZ6L,,,,,,,,,,MRPS12,FCGR2B,,,DUXB,JOSD2,,,,,,,
SGPL1,,,,,,,,,,MRPS14,FCRL1,,,DXO,KANK4,,,,,,,
SGPP2,,,,,,,,,,MRPS15,FCRL2,,,DYRK1A,KBTBD13,,,,,,,
SHISA2,,,,,,,,,,MRPS16,FCRL3,,,DYRK1B,KCNAB3,,,,,,,
SHISA3,,,,,,,,,,MRPS17,FCRL4,,,E2F1,KCTD17,,,,,,,
SIL1,,,,,,,,,,MRPS18A,FCRL5,,,E2F2,KIAA0513,,,,,,,
SLC18A1,,,,,,,,,,MRPS18B,FCRL6,,,E2F3,KIAA1191,,,,,,,
SLC27A4,,,,,,,,,,MRPS18C,FER1L5,,,E2F4,KIAA1217,,,,,,,
SLC33A1,,,,,,,,,,MRPS2,FFAR1,,,E2F5,KLHDC1,,,,,,,
SLC35B1,,,,,,,,,,MRPS21,FFAR2,,,E2F6,KLHL10,,,,,,,
SLC35D1,,,,,,,,,,MRPS22,FFAR3,,,E2F7,KPNA5,,,,,,,
SLC37A1,,,,,,,,,,MRPS23,FFAR4,,,E2F8,KPRP,,,,,,,
SLC37A2,,,,,,,,,,MRPS24,FLVCR2,,,EAF1,KRT17,,,,,,,
SLC37A3,,,,,,,,,,MRPS25,FPR1,,,EAF2,KRT20,,,,,,,
SLC37A4,,,,,,,,,,MRPS26,FPR2,,,EBF1,KRT25,,,,,,,
SLN,,,,,,,,,,MRPS28,FPR3,,,EBF2,KRT27,,,,,,,
SMIM14,,,,,,,,,,MRPS30,FRAS1,,,EBF3,KRT28,,,,,,,
SOAT1,,,,,,,,,,MRPS31,FREM2,,,EBF4,KRT7,,,,,,,
SOAT2,,,,,,,,,,MRPS33,FRRS1L,,,EBNA1BP2,KYAT1,,,,,,,
SPCS1,,,,,,,,,,MRPS34,FSHR,,,EDRF1,KYNU,,,,,,,
SPCS2,,,,,,,,,,MRPS35,FXYD1,,,EED,LAP3,,,,,,,
SPCS3,,,,,,,,,,MRPS36,FXYD3,,,EEF1A2,LARS1,,,,,,,
SPPL2C,,,,,,,,,,MRPS5,FZD1,,,EEF1D,LCP2,,,,,,,
SPTLC1,,,,,,,,,,MRPS6,FZD10,,,EFCAB6,LDHA,,,,,,,
SPTLC2,,,,,,,,,,MRPS7,FZD2,,,EFTUD2,LDHAL6A,,,,,,,
SPTLC3,,,,,,,,,,MRPS9,FZD3,,,EGLN2,LDHB,,,,,,,
SPTSSA,,,,,,,,,,MRRF,FZD4,,,EGR2,LDHC,,,,,,,
SPTSSB,,,,,,,,,,MRS2,FZD9,,,EGR3,LDLRAP1,,,,,,,
SQLE,,,,,,,,,,MSRB2,GABBR2,,,EGR4,LIMS3,,,,,,,
SRD5A1,,,,,,,,,,MT-ATP6,GABRA3,,,EHF,LNX1,,,,,,,
SRD5A2,,,,,,,,,,MT-ATP8,GABRA4,,,EHMT1,LRATD1,,,,,,,
SRD5A3,,,,,,,,,,MT-CO1,GABRA5,,,EHMT2,LRCH1,,,,,,,
SRPRA,,,,,,,,,,MT-CO2,GABRA6,,,EID2,LRCH3,,,,,,,
SRPRB,,,,,,,,,,MT-CO3,GABRB1,,,EID2B,LRRC14,,,,,,,
SSR1,,,,,,,,,,MT-CYB,GABRD,,,EIF1AD,LRRC18,,,,,,,
SSR2,,,,,,,,,,MT-ND1,GABRE,,,ELF1,LRRK1,,,,,,,
SSR3,,,,,,,,,,MT-ND2,GABRG1,,,ELF2,LRSAM1,,,,,,,
SSR4,,,,,,,,,,MT-ND3,GABRG3,,,ELF4,LRTOMT,,,,,,,
STIM2,,,,,,,,,,MT-ND4,GABRP,,,ELF5,LTA4H,,,,,,,
STIMATE,,,,,,,,,,MT-ND4L,GABRQ,,,ELK1,LURAP1,,,,,,,
STS,,,,,,,,,,MT-ND5,GABRR1,,,ELK3,LXN,,,,,,,
STT3A,,,,,,,,,,MT-ND6,GABRR2,,,ELK4,LYPLA2,,,,,,,
STT3B,,,,,,,,,,MTCH1,GABRR3,,,ELL,LYPLAL1,,,,,,,
SUCO,,,,,,,,,,MTCH2,GALR1,,,ELL2,LYST,,,,,,,
SUMF1,,,,,,,,,,MTERF1,GALR2,,,ELL3,LZTFL1,,,,,,,
SUMF2,,,,,,,,,,MTERF2,GALR3,,,ELMSAN1,M1AP,,,,,,,
SYVN1,,,,,,,,,,MTERF3,GAPT,,,ELOA,MAGEB18,,,,,,,
TAP1,,,,,,,,,,MTERF4,GAS1,,,ELOA2,MAGEB4,,,,,,,
TAP2,,,,,,,,,,MTFMT,GCGR,,,ELOA3,MAN2C1,,,,,,,
TAPBP,,,,,,,,,,MTFP1,GFRA2,,,ELOA3B,MAP3K14,,,,,,,
TBXAS1,,,,,,,,,,MTFR1,GFRA3,,,ELOA3C,MAP3K8,,,,,,,
TECR,,,,,,,,,,MTFR2,GFRAL,,,ELOA3D,MAP4K4,,,,,,,
TECRL,,,,,,,,,,MTG1,GGT1,,,ELOB,MAP4K5,,,,,,,
TEX264,,,,,,,,,,MTG2,GHRHR,,,ELOC,MAST4,,,,,,,
TFG,,,,,,,,,,MTHFD1L,GHSR,,,ELOF1,MDH1,,,,,,,
TM4SF20,,,,,,,,,,MTHFD2,GIPR,,,EMD,ME1,,,,,,,
TM7SF2,,,,,,,,,,MTHFD2L,GJA10,,,EME1,MEDAG,,,,,,,
TMBIM6,,,,,,,,,,MTIF2,GJA3,,,EME2,METAP1,,,,,,,
TMC6,,,,,,,,,,MTIF3,GJA4,,,EMG1,METTL21A,,,,,,,
TMC8,,,,,,,,,,MTLN,GJA5,,,EMSY,MFHAS1,,,,,,,
TMCC1,,,,,,,,,,MTO1,GJA8,,,EMX2,MICALCL,,,,,,,
TMCC2,,,,,,,,,,MTRES1,GJA9,,,EN1,MIOX,,,,,,,
TMCC3,,,,,,,,,,MTRF1,GJB1,,,EN2,MLPH,,,,,,,
TMED4,,,,,,,,,,MTRF1L,GJB2,,,ENY2,MLST8,,,,,,,
TMED6,,,,,,,,,,MTX1,GJB3,,,EOMES,MMACHC,,,,,,,
TMEM106C,,,,,,,,,,MTX2,GJB4,,,EP400,MOCS2,,,,,,,
TMEM129,,,,,,,,,,MTX3,GJB5,,,EPAS1,MOCS2,,,,,,,
TMEM147,,,,,,,,,,NADK2,GJB6,,,EPC1,MOCS3,,,,,,,
TMEM174,,,,,,,,,,NAGS,GJB7,,,EPC2,MPI,,,,,,,
TMEM178A,,,,,,,,,,NARS2,GJC1,,,EPM2A,MTHFD1,,,,,,,
TMEM189,,,,,,,,,,NAXD,GJC2,,,EPOP,MTHFS,,,,,,,
TMEM203,,,,,,,,,,NDUFA1,GJC3,,,ERCC3,MTR,,,,,,,
TMEM208,,,,,,,,,,NDUFA10,GJD2,,,ERCC4,MTRR,,,,,,,
TMEM214,,,,,,,,,,NDUFA11,GJD3,,,ERCC5,MTURN,,,,,,,
TMEM235,,,,,,,,,,NDUFA12,GJD4,,,ERCC6,MYLK3,,,,,,,
TMEM258,,,,,,,,,,NDUFA2,GJE1,,,ERCC6,MYO15B,,,,,,,
TMEM259,,,,,,,,,,NDUFA3,GLP1R,,,ERCC8,MYO5B,,,,,,,
TMEM38B,,,,,,,,,,NDUFA4,GLP2R,,,ERF,N4BP2,,,,,,,
TMEM41B,,,,,,,,,,NDUFA5,GLRA1,,,ERFL,NAA25,,,,,,,
TMEM64,,,,,,,,,,NDUFA6,GLRA2,,,ERVK-10,NAA35,,,,,,,
TMPRSS3,,,,,,,,,,NDUFA7,GLRA3,,,ERVK-24,NAA80,,,,,,,
TMTC1,,,,,,,,,,NDUFA8,GML,,,ERVK-5,NAPRT,,,,,,,
TMTC2,,,,,,,,,,NDUFA9,GNAO1,,,ERVK-7,NARS1,,,,,,,
TMTC3,,,,,,,,,,NDUFAB1,GNAS,,,ESCO1,NAT1,,,,,,,
TMTC4,,,,,,,,,,NDUFAF1,GNAS,,,ESCO2,NAT2,,,,,,,
TMX1,,,,,,,,,,NDUFAF2,GNAS,,,ESF1,NBPF1,,,,,,,
TMX3,,,,,,,,,,NDUFAF4,GNG14,,,ESR2,NBPF10,,,,,,,
TOR2A,,,,,,,,,,NDUFAF5,GNRHR,,,ESRG,NBPF11,,,,,,,
TPTE2,,,,,,,,,,NDUFAF6,GNRHR2,,,ESRP1,NBPF12,,,,,,,
TRAM1,,,,,,,,,,NDUFAF7,GP6,,,ESRP2,NBPF14,,,,,,,
TRAM1L1,,,,,,,,,,NDUFAF8,GPBAR1,,,ESRRG,NBPF15,,,,,,,
TRIM13,,,,,,,,,,NDUFB1,GPC3,,,ESS2,NBPF19,,,,,,,
TRIM59,,,,,,,,,,NDUFB10,GPIHBP1,,,ETAA1,NBPF20,,,,,,,
TRIQK,,,,,,,,,,NDUFB11,GPM6A,,,ETS2,NBPF26,,,,,,,
TSPO2,,,,,,,,,,NDUFB2,GPM6B,,,ETV1,NBPF3,,,,,,,
TTMP,,,,,,,,,,NDUFB3,GPR1,,,ETV2,NBPF4,,,,,,,
TUSC3,,,,,,,,,,NDUFB4,GPR101,,,ETV3,NBPF5P,,,,,,,
TXNDC11,,,,,,,,,,NDUFB5,GPR119,,,ETV3L,NBPF6,,,,,,,
TXNDC12,,,,,,,,,,NDUFB6,GPR12,,,ETV4,NBPF7,,,,,,,
TXNDC5,,,,,,,,,,NDUFB7,GPR132,,,ETV5,NBPF8,,,,,,,
UBAC2,,,,,,,,,,NDUFB8,GPR139,,,ETV6,NBPF9,,,,,,,
UBE2J1,,,,,,,,,,NDUFB9,GPR141,,,ETV7,NCCRP1,,,,,,,
UBE2J2,,,,,,,,,,NDUFC1,GPR142,,,EVX1,NCF1B,,,,,,,
UBXN8,,,,,,,,,,NDUFC2,GPR146,,,EVX2,NCF1C,,,,,,,
UGT1A1,,,,,,,,,,NDUFC2-KCTD14,GPR148,,,EXO1,NCF2,,,,,,,
UGT1A10,,,,,,,,,,NDUFS1,GPR149,,,EZH1,NDRG4,,,,,,,
UGT1A3,,,,,,,,,,NDUFS2,GPR15,,,EZH2,NEBL,,,,,,,
UGT1A4,,,,,,,,,,NDUFS3,GPR150,,,FAAP100,NECAB1,,,,,,,
UGT1A5,,,,,,,,,,NDUFS4,GPR151,,,FAAP20,NEU2,,,,,,,
UGT1A6,,,,,,,,,,NDUFS5,GPR152,,,FAAP24,NEURL1B,,,,,,,
UGT1A7,,,,,,,,,,NDUFS6,GPR153,,,FAF1,NEURL2,,,,,,,
UGT1A8,,,,,,,,,,NDUFS7,GPR156,,,FAM118B,NFKBIE,,,,,,,
UGT1A9,,,,,,,,,,NDUFS8,GPR157,,,FAM120B,NGLY1,,,,,,,
UGT2B10,,,,,,,,,,NDUFV1,GPR158,,,FAM124B,NHLRC2,,,,,,,
UGT2B11,,,,,,,,,,NDUFV2,GPR160,,,FAM169A,NIT2,,,,,,,
UGT2B15,,,,,,,,,,NDUFV3,GPR162,,,FAM170A,NKIRAS1,,,,,,,
UGT2B17,,,,,,,,,,NLN,GPR17,,,FAM192A,NKIRAS2,,,,,,,
UGT2B28,,,,,,,,,,NLRX1,GPR171,,,FAM220A,NLRC3,,,,,,,
UGT2B4,,,,,,,,,,NME4,GPR173,,,FAM32A,NLRC4,,,,,,,
UGT2B7,,,,,,,,,,NMNAT3,GPR174,,,FAM50A,NLRC5,,,,,,,
UPK3A,,,,,,,,,,NNT,GPR176,,,FAM53A,NLRP12,,,,,,,
USE1,,,,,,,,,,NOA1,GPR179,,,FAM53B,NLRP14,,,,,,,
USP19,,,,,,,,,,NSUN3,GPR182,,,FAM71B,NLRP2,,,,,,,
VAPB,,,,,,,,,,NSUN4,GPR183,,,FAM76B,NLRP8,,,,,,,
VKORC1,,,,,,,,,,NT5M,GPR19,,,FAM9A,NME8,,,,,,,
VKORC1L1,,,,,,,,,,NUBPL,GPR20,,,FAM9B,NMI,,,,,,,
WFS1,,,,,,,,,,NUDT9,GPR21,,,FAM9C,NNMT,,,,,,,
WRB,,,,,,,,,,OAT,GPR22,,,FAN1,NOS2,,,,,,,
XXYLT1,,,,,,,,,,OGDHL,GPR25,,,FANCB,NPL,,,,,,,
ZDHHC16,,,,,,,,,,OMA1,GPR26,,,FANCE,NQO1,,,,,,,
ZDHHC4,,,,,,,,,,OPA1,GPR27,,,FANCF,NQO2,,,,,,,
ZDHHC6,,,,,,,,,,OPA3,GPR3,,,FANCI,NRBP2,,,,,,,
ZFAND2B,,,,,,,,,,OSGEPL1,GPR31,,,FANCM,NREP,,,,,,,
ZNRF4,,,,,,,,,,OTC,GPR32,,,FBH1,NSF,,,,,,,
ZMPSTE24,,,,,,,,,,OXA1L,GPR32P1,,,FBL,NSUN6,,,,,,,
EMC4,,,,,,,,,,OXCT1,GPR33,,,FBLL1,NT5C,,,,,,,
ESYT1,,,,,,,,,,OXCT2,GPR34,,,FBXO11,NT5C1A,,,,,,,
ALG13,,,,,,,,,,OXR1,GPR37L1,,,FBXO25,NT5C1B,,,,,,,
TEX2,,,,,,,,,,OXSM,GPR39,,,FBXO3,NT5C2,,,,,,,
P4HB,,,,,,,,,,PABPC5,GPR4,,,FCF1,NT5C3B,,,,,,,
CALR,,,,,,,,,,PAM16,GPR42,,,FERD3L,NTAN1,,,,,,,
MANF,,,,,,,,,,PARL,GPR45,,,FEV,NUDT10,,,,,,,
ILVBL,,,,,,,,,,PARS2,GPR50,,,FEZF1,NUDT11,,,,,,,
PRDX4,,,,,,,,,,PC,GPR52,,,FEZF2,NUDT14,,,,,,,
EMC7,,,,,,,,,,PCCA,GPR55,,,FGF12,NUDT3,,,,,,,
DNAJB12,,,,,,,,,,PCCB,GPR6,,,FGF14,NUDT4,,,,,,,
CANT1,,,,,,,,,,PCK2,GPR63,,,FHL5,NUDT4B,,,,,,,
MBTPS1,,,,,,,,,,PDE12,GPR65,,,FIGLA,NWD1,,,,,,,
TXNDC16,,,,,,,,,,PDF,GPR68,,,FIP1L1,OLAH,,,,,,,
ULBP2,,,,,,,,,,PDHA1,GPR75,,,FKBP3,OMP,,,,,,,
METTL9,,,,,,,,,,PDHA2,GPR78,,,FLI1,OSTF1,,,,,,,
,,,,,,,,,,PDHB,GPR82,,,FLYWCH1,OTUB1,,,,,,,
,,,,,,,,,,PDHX,GPR83,,,FOSB,OTULIN,,,,,,,
,,,,,,,,,,PDK1,GPR84,,,FOSL1,OXSR1,,,,,,,
,,,,,,,,,,PDK2,GPR87,,,FOSL2,PABPC3,,,,,,,
,,,,,,,,,,PDK3,GPRC5D,,,FOXA1,PABPN1L,,,,,,,
,,,,,,,,,,PDK4,GPRC6A,,,FOXA3,PADI1,,,,,,,
,,,,,,,,,,PDP1,GPRIN1,,,FOXB1,PADI2,,,,,,,
,,,,,,,,,,PDP2,GRIA3,,,FOXB2,PADI3,,,,,,,
,,,,,,,,,,PDPR,GRIA4,,,FOXC1,PAFAH1B2,,,,,,,
,,,,,,,,,,PDSS1,GRID1,,,FOXC2,PAFAH1B3,,,,,,,
,,,,,,,,,,PDSS2,GRID2,,,FOXD1,PAIP1,,,,,,,
,,,,,,,,,,PET100,GRID2IP,,,FOXD2,PAIP2,,,,,,,
,,,,,,,,,,PET117,GRIK1,,,FOXD3,PAK3,,,,,,,
,,,,,,,,,,PGS1,GRIK2,,,FOXD4,PAK4,,,,,,,
,,,,,,,,,,PHYKPL,GRIK3,,,FOXD4L1,PALD1,,,,,,,
,,,,,,,,,,PISD,GRIK4,,,FOXD4L3,PANK1,,,,,,,
,,,,,,,,,,PITRM1,GRIK5,,,FOXD4L4,PANK3,,,,,,,
,,,,,,,,,,PLD6,GRIN1,,,FOXD4L5,PANK4,,,,,,,
,,,,,,,,,,PLSCR3,GRIN2B,,,FOXD4L6,PCBP3,,,,,,,
,,,,,,,,,,PMAIP1,GRIN2C,,,FOXE1,PCBP4,,,,,,,
,,,,,,,,,,PMPCA,GRIN2D,,,FOXE3,PCK1,,,,,,,
,,,,,,,,,,PMPCB,GRIN3A,,,FOXF1,PCMT1,,,,,,,
,,,,,,,,,,PNPLA4,GRIN3B,,,FOXF2,PCMTD2,,,,,,,
,,,,,,,,,,PNPT1,GRM1,,,FOXG1,PCOTH,,,,,,,
,,,,,,,,,,POLG,GRM2,,,FOXH1,PCTP,,,,,,,
,,,,,,,,,,POLG2,GRM3,,,FOXI1,PDE11A,,,,,,,
,,,,,,,,,,POLRMT,GRM4,,,FOXI2,PDE1B,,,,,,,
,,,,,,,,,,PPA2,GRM5,,,FOXI3,PDE7A,,,,,,,
,,,,,,,,,,PPIF,GRM7,,,FOXJ1,PDRG1,,,,,,,
,,,,,,,,,,PPM1K,GRM8,,,FOXJ2,PDXK,,,,,,,
,,,,,,,,,,PPOX,GRPR,,,FOXJ3,PEBP1,,,,,,,
,,,,,,,,,,PPTC7,GSG1L,,,FOXL1,PFAS,,,,,,,
,,,,,,,,,,PRELID1,GUCA1B,,,FOXL2,PFKL,,,,,,,
,,,,,,,,,,PRELID3A,GYPA,,,FOXM1,PFKM,,,,,,,
,,,,,,,,,,PRNP,GYPB,,,FOXN1,PFKP,,,,,,,
,,,,,,,,,,PRODH,GYPC,,,FOXN2,PGD,,,,,,,
